구분,성별(남),성별(여),성별(소계),대상별(초) ,대상별(중),대상별(고),대상별(대),대상별(근로청소년),대상별(무직청소년),대상별(학부모),대상별(청소년지도자),대상별(일반인),대상별(소계)
가족,184100,301331,485431,145944,152565,106933,23073,3012,24897,23849,1720,3438,485431
일탈 및 비행,283604,177099,460703,89622,177569,147848,7053,3943,26421,2273,2814,3160,460703
학업/진로,290032,325861,615893,126989,222118,184215,23484,5220,44188,2968,3938,2773,615893
성,46285,37775,84060,18412,29783,22990,4139,480,5451,496,708,1601,84060
성격,174683,167510,342193,170864,85050,52842,16843,1795,10419,1626,1162,1592,342193
대인관계,464865,652551,1117416,537497,311745,195211,36191,1600,20630,2745,6119,5678,1117416
정신건강,454983,676330,1131313,231697,372044,325598,93776,6115,85555,1267,5306,9955,1131313
생활습관/외모,22130,21993,44123,14883,13332,9454,2462,254,3328,3,91,316,44123
컴퓨터/인터넷 사용,271686,205558,477244,234255,185934,47260,1385,158,1610,2516,1118,3008,477244
정보제공,84402,183993,268395,41225,42316,38214,10584,832,11066,4318,2078,117762,268395
법률정보,5544,4044,9588,1934,4083,2480,284,24,402,0,121,260,9588
활동,22472,30384,52856,14735,13257,13026,2746,103,664,870,1859,5596,52856
기타,18597,12586,31183,2021,1899,4692,3307,91,948,0,0,18225,31183
