 ,2014,2015,2016,2017,2018,2019,2020,2021
계,"4,135,837","3,975,462","4,290,551","4,643,628","5,055,678","5,141,941","3,973,053","5,098,132"
가정,"287,465","304,204","335,743","357,471","388,601","383,802","416,755","485,261"
일탈/ 비행,"427,998","448,964","414,885","442,572","522,910","584,748","405,338","460,653"
학업/ 진로,"1,145,148","812,280","846,273","826,084","839,102","690,481","513,842","615,546"
성,"79,638","70,556","70,055","90,112","86,701","83,249","69,612","82,274"
대인 관계,"789,687","888,650","1,062,059","1,257,287","1,329,866","1,408,054","854,287","1,116,861"
성격,"304,951","305,755","301,534","329,809","340,885","340,877","246,329","341,910"
정신 건강,"427,677","471,611","521,613","567,981","738,188","826,767","788,782","1,130,526"
생활 습관 태도,"31,649","36,358","47,216","40,173","41,507","37,208","38,444","44,123"
활동,"57,256","57,375","68,117","78,942","86,943","71,953","38,882","52,856"
컴퓨터/인터넷,"323,806","343,910","358,128","389,345","427,140","443,856","324,931","459,028"
단순 정보 제공,"260,562","235,799","264,928","263,852","253,835","270,946","275,851","309,094"
